,Player,Tm,3P,3P%,2P,2P%,FT,FT%,TRB,AST,STL,BLK,PTS,2K
329,Naz Mitrou-Long,IND,0.7,0.182,1.3,0.8,0,0,2,2.3,0.3,0.3,4.7,
330,Malik Monk,CHO,1,0.274,2.5,0.591,1.2,0.826,2.8,2.2,0.4,0.2,9.3,
331,E'Twaun Moore,NOP,1.3,0.403,2.2,0.433,0.7,0.636,3.1,1.6,0.5,0.1,9.1,
332,Ja Morant,MEM,1,0.4,5.8,0.48,3.8,0.793,3.2,6.5,1.2,0.3,18.2,
333,Juwan Morgan,UTA,0,0,0,0,0,0,0.7,0,0,0,0,
334,Marcus Morris,NYK,2.7,0.466,3.3,0.406,3.8,0.854,5.6,1.4,0.9,0.5,18.4,
336,Markieff Morris,DET,1.8,0.417,2.3,0.523,1.2,0.745,4,1.7,0.6,0.2,11.1,
337,Monte Morris,DEN,0.6,0.405,2.2,0.435,0.9,0.758,1.6,3.2,0.7,0.2,7,
338,Johnathan Motley,LAC,0.3,1,0,0,0,0,0.5,0.8,0.8,0,0.8,
339,Emmanuel Mudiay,UTA,0.6,0.357,2.3,0.512,1.1,0.756,2.6,2.3,0.3,0.3,7.4,
340,Dejounte Murray,SAS,0.3,0.242,3.9,0.531,1.7,0.782,6,4.2,1.8,0.3,10.4,
341,Jamal Murray,DEN,1.7,0.329,5,0.502,2.7,0.895,4.3,4.6,1.4,0.3,17.8,
342,Džanan Musa,BRK,0.4,0.184,1,0.449,1,0.742,2.3,1.1,0.4,0,4.3,
343,Mike Muscala,OKC,0.6,0.261,0.4,0.412,0.5,0.9,1.9,0.7,0.2,0.2,3.1,
344,Sviatoslav Mykhailiuk,DET,1.5,0.429,0.5,0.343,0.4,0.786,1.2,1.3,0.5,0.1,5.8,
345,Abdel Nader,OKC,1.1,0.414,1.5,0.579,1.1,0.8,1.8,0.7,0.4,0.4,7.4,
346,Larry Nance,CLE,1,0.341,2.3,0.622,1,0.703,7.2,1.6,0.8,0.5,8.6,
347,Shabazz Napier,MIN,1,0.239,1.4,0.59,1.5,0.828,2.1,3.4,1.1,0.3,7.4,
348,Raul Neto,PHI,0.6,0.457,1,0.509,0.2,0.75,1,1.5,0.5,0.1,3.9,
349,Georges Niang,UTA,0.9,0.415,0.7,0.548,0.3,0.7,1.7,0.4,0.2,0.1,4.5,
350,Nerlens Noel,OKC,0,0,3.1,0.656,1.6,0.821,4.9,1.3,1,1.4,7.8,
351,Zach Norvell,LAL,0,0,0,0,0,0,0.5,0,0,0,0,
352,Jaylen Nowell,MIN,0,0,1.4,1,1,1,0.4,1,0,0,3.8,
353,Frank Ntilikina,NYK,0.8,0.333,1.4,0.426,0.6,0.8,2,2.9,1.2,0.4,5.8,
354,Kendrick Nunn,MIA,2.1,0.35,4.4,0.52,1.2,0.783,2.7,3.6,1,0.2,16.2,
355,David Nwaba,BRK,0.6,0.429,1.3,0.581,0.9,0.667,2.3,0.4,0.6,0.6,5.2,
357,Royce O'Neale,UTA,1.3,0.429,1,0.508,0.5,0.778,4.8,2.5,0.9,0.3,6.4,
358,Kyle O'Quinn,PHI,0.3,0.375,1,0.563,0.2,0.375,3.4,1.3,0.1,0.7,3.2,
359,Semi Ojeleye,BOS,0.6,0.366,0.4,0.478,0.3,0.7,2.1,0.4,0.4,0.1,2.7,
360,Jahlil Okafor,NOP,0.1,0.5,3.4,0.614,1.6,0.651,4.7,1.6,0.3,0.8,8.6,
361,Elie Okobo,PHO,0.5,0.364,1.2,0.491,1.1,0.615,1.2,2.2,0.5,0.1,5.2,
362,Josh Okogie,MIN,0.7,0.282,1.8,0.471,2.4,0.795,4.6,1.5,0.9,0.4,8.2,
363,KZ Okpala,MIA,0,0,0,0,0,0,0.3,0,0,0,0,
364,Kelly Olynyk,MIA,1.5,0.413,1.3,0.507,1.5,0.882,4.9,1.4,0.8,0.3,8.5,
365,Miye Oni,UTA,0,0,0,0,0,0,0.3,0,0,0,0,
366,Cedi Osman,CLE,1.7,0.375,2,0.492,0.8,0.615,3.2,2.1,1,0.3,10,
367,Kelly Oubre,PHO,1.6,0.318,4.7,0.513,3.6,0.796,5.8,1.5,1.4,0.8,17.7,
368,Jabari Parker,ATL,1,0.277,5.3,0.6,1.7,0.736,6.1,1.8,1.3,0.5,15.4,
369,Chandler Parsons,ATL,1,0.333,0.3,0.5,0,0,1.5,0.5,1,0,3.5,
370,Eric Paschall,GSW,0.7,0.308,4.9,0.541,3.2,0.788,4.8,1.7,0.4,0.4,15.2,
371,Anžejs Pasečņiks,WAS,0,0,3.3,0.565,2,0.667,4.3,0.8,0,0,8.5,
